iter	Logloss
0	0.6391209212
1	0.5922285546
2	0.550985415
3	0.5158476362
4	0.4835268436
5	0.4566691727
6	0.4330656687
7	0.4116093953
8	0.3926388555
9	0.3761088531
10	0.3627046562
11	0.3503596315
12	0.3400737097
13	0.3308359154
14	0.3229814138
15	0.3153776861
16	0.3088048216
17	0.302806406
18	0.2977205446
19	0.2933672926
20	0.2899059613
21	0.2864925869
22	0.2829297311
23	0.280063558
24	0.2775578377
25	0.2753622758
26	0.2729854538
27	0.2709747727
28	0.2691490905
29	0.267640165
30	0.266163466
31	0.2649592948
32	0.2637594318
33	0.2627386812
34	0.2617090648
35	0.2607395976
36	0.2599406065
37	0.259182676
38	0.2584126524
39	0.2576839504
40	0.2571065003
41	0.2565629143
42	0.2560529555
43	0.2555927924
44	0.25515117
45	0.2548270255
46	0.2544338772
47	0.2540552557
48	0.2537536647
49	0.2534775426
50	0.2532234391
51	0.2529818215
52	0.2527146011
53	0.2525087526
54	0.2522791063
55	0.2520571164
56	0.2518411787
57	0.2516315722
58	0.2514681159
59	0.2513142384
60	0.2511234582
61	0.2509446068
62	0.2508080972
63	0.2506574858
64	0.2505168445
65	0.2503929206
66	0.2502612797
67	0.250153726
68	0.2500080413
69	0.249901548
70	0.2497614489
71	0.24967266
72	0.2495851105
73	0.2494601412
74	0.249367284
75	0.249290484
76	0.2491942293
77	0.2491282384
78	0.2490182751
79	0.2489262327
80	0.2488407629
81	0.2487400796
82	0.2486725121
83	0.2485979938
84	0.2485260237
85	0.2484628706
86	0.2484056349
87	0.2483303228
88	0.2482552935
89	0.248187215
90	0.2481040353
91	0.2480471862
92	0.2479746492
93	0.2479175947
94	0.2478441911
95	0.2477783661
96	0.2477293146
97	0.2476898645
98	0.247633553
99	0.2475793797
100	0.2475304322
101	0.247477163
102	0.2474102515
103	0.2473319032
104	0.2472683035
105	0.2472202352
106	0.2471710438
107	0.2471178388
108	0.2470778779
109	0.2470294407
110	0.2469807263
111	0.2469041855
112	0.2468603991
113	0.2468145963
114	0.246754663
115	0.2467096607
116	0.2466510535
117	0.2466189293
118	0.2465671577
119	0.2465303235
120	0.2464865482
121	0.2464487405
122	0.2464123224
123	0.24636004
124	0.2463170751
125	0.2462767137
126	0.2462281651
127	0.2462021784
128	0.2461688282
129	0.2461352879
130	0.2460888828
131	0.2460479061
132	0.2460143396
133	0.2459691989
134	0.2459245937
135	0.2458732965
136	0.2458224805
137	0.2457765495
138	0.2457462602
139	0.2457030963
140	0.2456511089
141	0.2456217343
142	0.2455899634
143	0.2455398537
144	0.2455197546
145	0.2454859516
146	0.245448459
147	0.2454279014
148	0.2453984705
149	0.2453688031
150	0.2453353564
151	0.2452871579
152	0.2452571206
153	0.2452349543
154	0.2451994393
155	0.2451639454
156	0.2451303857
157	0.2450919311
158	0.2450640336
159	0.2450239393
160	0.2449909007
161	0.2449671646
162	0.2449271733
163	0.2448912594
164	0.2448604161
165	0.2448314052
166	0.244789547
167	0.2447646646
168	0.2447462316
169	0.2447149689
170	0.2446819996
171	0.2446415512
172	0.2446140202
173	0.2445661194
174	0.2445256975
175	0.2445009906
176	0.2444728546
177	0.244430746
178	0.2444150768
179	0.2443766217
180	0.2443483746
181	0.2443284309
182	0.2443076194
183	0.244284575
184	0.2442614874
185	0.2442422723
186	0.2442213229
187	0.244191895
188	0.2441749207
189	0.2441480396
190	0.2441222978
191	0.2440986559
192	0.2440703074
193	0.2440451907
194	0.2440217289
195	0.2439941462
196	0.2439712339
197	0.2439480646
198	0.2439166922
199	0.243889557
200	0.2438625327
201	0.243838726
202	0.2438102168
203	0.2437828604
204	0.2437595621
205	0.2437187529
206	0.2436991369
207	0.2436756307
208	0.2436573238
209	0.2436254888
210	0.2436095085
211	0.2435739588
212	0.2435409181
213	0.2435192013
214	0.2434909966
215	0.2434596295
216	0.2434219767
217	0.2433962461
218	0.243365579
219	0.2433470459
220	0.2433231502
221	0.2433122067
222	0.2432876527
223	0.2432675689
224	0.2432348579
225	0.2432053539
226	0.2431827046
227	0.2431500233
228	0.243120224
229	0.2430821953
230	0.2430574326
231	0.2430310471
232	0.2430019755
233	0.2429778723
234	0.2429439413
235	0.2429135085
236	0.242892612
237	0.2428710129
238	0.2428546069
239	0.2428310295
240	0.242813652
241	0.2427808121
242	0.2427506706
243	0.2427174581
244	0.2426830856
245	0.2426596995
246	0.2426326918
