iter	Passed	Remaining
0	14	7163
1	28	6989
2	42	6991
3	55	6920
4	70	6931
5	84	6916
6	97	6893
7	113	6953
8	126	6906
9	140	6881
10	154	6876
11	168	6871
12	182	6843
13	196	6824
14	211	6823
15	225	6834
16	240	6829
17	253	6791
18	267	6769
19	281	6757
20	294	6718
21	308	6694
22	321	6668
23	334	6631
24	348	6619
25	362	6602
26	376	6592
27	389	6574
28	404	6571
29	417	6542
30	431	6529
31	445	6516
32	458	6487
33	471	6464
34	486	6468
35	501	6466
36	516	6458
37	529	6442
38	544	6436
39	558	6427
40	572	6412
41	587	6402
42	599	6376
43	614	6370
44	628	6355
45	642	6341
46	657	6336
47	671	6325
48	685	6312
49	699	6295
50	713	6284
51	727	6268
52	741	6252
53	756	6248
54	771	6238
55	784	6223
56	799	6211
57	812	6195
58	826	6180
59	840	6163
60	854	6152
61	869	6141
62	882	6122
63	900	6135
64	919	6154
65	937	6167
66	952	6158
67	967	6145
68	981	6133
69	997	6125
70	1011	6114
71	1034	6150
72	1049	6137
73	1064	6126
74	1078	6111
75	1093	6098
76	1108	6091
77	1122	6075
78	1137	6063
79	1153	6055
80	1169	6050
81	1185	6042
82	1199	6028
83	1213	6011
84	1227	5992
85	1241	5977
86	1255	5961
87	1270	5946
88	1284	5929
89	1298	5913
90	1311	5896
91	1325	5878
92	1339	5862
93	1353	5844
94	1368	5832
95	1382	5819
96	1397	5805
97	1411	5789
98	1425	5773
99	1439	5757
100	1454	5744
101	1467	5726
102	1482	5715
103	1497	5700
104	1512	5690
105	1526	5674
106	1541	5660
107	1555	5647
108	1569	5629
109	1583	5614
110	1598	5600
111	1612	5585
112	1626	5571
113	1639	5552
114	1654	5537
115	1668	5521
116	1682	5506
117	1694	5486
118	1708	5470
119	1722	5453
120	1736	5439
121	1750	5422
122	1764	5407
123	1778	5392
124	1791	5375
125	1805	5360
126	1820	5345
127	1833	5328
128	1847	5313
129	1864	5307
130	1878	5292
131	1892	5275
132	1906	5259
133	1919	5242
134	1932	5225
135	1947	5211
136	1961	5195
137	1975	5181
138	1989	5165
139	2002	5150
140	2016	5135
141	2031	5121
142	2044	5105
143	2059	5091
144	2072	5074
145	2086	5059
146	2100	5044
147	2114	5028
148	2128	5014
149	2142	4999
150	2156	4984
151	2171	4971
152	2184	4953
153	2197	4937
154	2212	4923
155	2226	4909
156	2240	4895
157	2255	4881
158	2268	4865
159	2283	4852
160	2297	4837
161	2312	4823
162	2326	4809
163	2340	4795
164	2355	4781
165	2369	4767
166	2383	4753
167	2397	4738
168	2411	4723
169	2425	4707
170	2439	4693
171	2452	4677
172	2466	4661
173	2480	4647
174	2493	4630
175	2505	4613
176	2519	4596
177	2532	4580
178	2545	4565
179	2559	4550
180	2572	4534
181	2585	4517
182	2599	4502
183	2612	4486
184	2625	4470
185	2637	4452
186	2650	4437
187	2663	4420
188	2677	4405
189	2691	4391
190	2704	4375
191	2718	4360
192	2731	4345
193	2745	4329
194	2758	4314
195	2771	4299
196	2784	4283
197	2798	4267
198	2813	4254
199	2826	4239
200	2839	4223
201	2852	4207
202	2866	4193
203	2879	4178
204	2893	4163
205	2907	4149
206	2920	4134
207	2935	4120
208	2949	4106
209	2962	4091
210	2976	4076
211	2989	4061
212	3002	4045
213	3015	4030
214	3028	4014
215	3043	4001
216	3056	3986
217	3070	3972
218	3084	3958
219	3098	3943
220	3110	3927
221	3124	3912
222	3138	3897
223	3151	3882
224	3164	3867
225	3179	3854
226	3192	3839
227	3206	3825
228	3219	3809
229	3232	3795
230	3246	3780
231	3259	3765
232	3272	3750
233	3286	3735
234	3299	3721
235	3312	3705
236	3326	3691
237	3340	3676
238	3354	3663
239	3367	3648
240	3380	3633
241	3394	3619
242	3409	3606
243	3424	3592
244	3438	3578
245	3451	3563
246	3465	3550
247	3479	3535
248	3494	3522
249	3508	3508
250	3521	3493
251	3535	3479
252	3548	3464
253	3561	3449
254	3575	3435
255	3590	3421
