number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_max_ctr_complexity,params_min_data_in_leaf,params_random_strength,system_attrs_tpe:relative_params:0,state
0,0.5543966574625179,2026-09-13 01:23:11.097735,2026-09-13 01:24:37.164319,0 days 00:01:26.066584,1.7925861778668761,128,7,2.689685941170981,0.04444148872300041,1,52,2.6788408630429643,,COMPLETE
1,0.542170560771956,2026-09-13 01:24:37.179262,2026-09-13 01:25:58.750392,0 days 00:01:21.571130,1.3525098039602625,254,4,4.729313084378031,0.03299382024872408,2,65,0.8354618479439259,,COMPLETE
2,0.5396928683000666,2026-09-13 01:25:58.764136,2026-09-13 01:27:43.059912,0 days 00:01:44.295776,0.31373547694992654,128,6,2.6230159082059785,0.02017922750526717,2,70,1.3213611530122185,,COMPLETE
3,0.5287313373647693,2026-09-13 01:27:43.074600,2026-09-13 01:29:16.353809,0 days 00:01:33.279209,1.8056682170767961,128,5,24.16307443648891,0.018240751513816537,2,98,2.017151027738441,,COMPLETE
4,0.5595010635342156,2026-09-13 01:29:16.373228,2026-09-13 01:30:59.580924,0 days 00:01:43.207696,0.9378804973983381,254,6,3.420385025966486,0.05867739852097336,1,23,1.219559749128746,,COMPLETE
5,0.5644325208721687,2026-09-13 01:30:59.595391,2026-09-13 01:32:54.709848,0 days 00:01:55.114457,0.41082068920997505,128,6,2.62268388080231,0.10281735163540187,1,28,1.3638662265658403,,COMPLETE
6,0.5460304641084347,2026-09-13 01:32:54.723892,2026-09-13 01:34:54.170359,0 days 00:01:59.446467,1.3783608275098282,128,5,11.100408230414109,0.0370459484108265,1,75,2.073278765567293,,COMPLETE
7,0.554525572647087,2026-09-13 01:34:54.185156,2026-09-13 01:36:09.204976,0 days 00:01:15.019820,1.9432052123471353,128,5,4.544992947917815,0.04716912973032047,1,7,0.7280262665530144,,COMPLETE
8,0.5628057126672197,2026-09-13 01:36:09.219304,2026-09-13 01:37:46.353703,0 days 00:01:37.134399,0.39795205259415667,254,6,7.609300642963074,0.07102618594225507,1,7,0.21768641346670026,,COMPLETE
9,0.5457951584172777,2026-09-13 01:37:46.367459,2026-09-13 01:39:11.015713,0 days 00:01:24.648254,1.4143612016157954,128,4,25.489949950102886,0.04474093998918338,1,69,1.6230590200793136,,COMPLETE
10,0.5489614188285201,2026-09-13 01:39:11.030460,2026-09-13 01:42:21.284141,0 days 00:03:10.253681,0.11143062419148464,128,7,1.2669402082261838,0.029664175489716064,2,5,1.7685731556922701,"{""bagging_temperature"": 0.11143062419148464, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 1.2669402082261838, ""learning_rate"": 0.029664175489716064, ""max_ctr_complexity"": 2, ""min_data_in_leaf"": 5, ""random_strength"": 1.7685731556922701}",COMPLETE
11,0.563882723449929,2026-09-13 01:42:21.300627,2026-09-13 01:44:45.855996,0 days 00:02:24.555369,0.25874147717901685,128,6,1.7767776022273452,0.13808280942644877,1,27,1.7103043552865487,"{""bagging_temperature"": 0.25874147717901685, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.7767776022273452, ""learning_rate"": 0.13808280942644877, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 27, ""random_strength"": 1.7103043552865487}",COMPLETE
12,0.5650963876986629,2026-09-13 01:44:45.873655,2026-09-13 01:47:23.318075,0 days 00:02:37.444420,0.574234637269332,128,6,1.7613086742640174,0.11920205733058482,1,16,1.2326328380615517,"{""bagging_temperature"": 0.574234637269332, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.7613086742640174, ""learning_rate"": 0.11920205733058482, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 16, ""random_strength"": 1.2326328380615517}",COMPLETE
13,0.5634531360416024,2026-09-13 01:47:23.334748,2026-09-13 01:49:26.816270,0 days 00:02:03.481522,0.8309975510518024,128,7,2.7640642986535577,0.128722514400658,1,26,0.4170301988075502,"{""bagging_temperature"": 0.8309975510518024, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 2.7640642986535577, ""learning_rate"": 0.128722514400658, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 26, ""random_strength"": 0.4170301988075502}",COMPLETE
14,0.5632678999051479,2026-09-13 01:49:26.830715,2026-09-13 01:50:40.709439,0 days 00:01:13.878724,1.1204414125071827,128,5,1.4456226393776241,0.145336502017552,1,33,1.5549815611750577,"{""bagging_temperature"": 1.1204414125071827, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 1.4456226393776241, ""learning_rate"": 0.145336502017552, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 33, ""random_strength"": 1.5549815611750577}",COMPLETE
15,0.5604099138120175,2026-09-13 01:50:40.724345,2026-09-13 01:51:52.842857,0 days 00:01:12.118512,0.5693416367795622,128,5,2.480941354486548,0.08523975048594645,1,41,2.184545181378393,"{""bagging_temperature"": 0.5693416367795622, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 2.480941354486548, ""learning_rate"": 0.08523975048594645, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 41, ""random_strength"": 2.184545181378393}",COMPLETE
16,0.561970001381103,2026-09-13 01:51:52.857777,2026-09-13 01:53:18.499421,0 days 00:01:25.641644,0.6048352724026712,128,7,1.485602061138345,0.07346389658841491,1,4,1.7636997490811919,"{""bagging_temperature"": 0.6048352724026712, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 1.485602061138345, ""learning_rate"": 0.07346389658841491, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 4, ""random_strength"": 1.7636997490811919}",COMPLETE
17,0.5600972844603269,2026-09-13 01:53:18.514106,2026-09-13 01:54:37.273598,0 days 00:01:18.759492,0.029235034963466133,128,6,2.463812686624705,0.05463902295790339,1,42,0.5152348224066732,"{""bagging_temperature"": 0.029235034963466133, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 2.463812686624705, ""learning_rate"": 0.05463902295790339, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 42, ""random_strength"": 0.5152348224066732}",COMPLETE
18,0.560907927936119,2026-09-13 01:54:37.289268,2026-09-13 01:55:56.151586,0 days 00:01:18.862318,0.2077053303546702,128,6,5.271069445381338,0.07068391279860757,1,33,1.3712703950836054,"{""bagging_temperature"": 0.2077053303546702, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 5.271069445381338, ""learning_rate"": 0.07068391279860757, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 33, ""random_strength"": 1.3712703950836054}",COMPLETE
19,0.5641196471868198,2026-09-13 01:55:56.166366,2026-09-13 01:57:21.773195,0 days 00:01:25.606829,0.3481949246847359,128,7,1.223919989372561,0.090679672774758,1,24,0.7887435006871168,"{""bagging_temperature"": 0.3481949246847359, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 1.223919989372561, ""learning_rate"": 0.090679672774758, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 24, ""random_strength"": 0.7887435006871168}",COMPLETE
